what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1594937252320
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594937257664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937275060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937278853
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1594937278884
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594937284680
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594937284812
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594937293436
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594937378776
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1594937383558
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594937385188
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594937387900
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594937406587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937423397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937688330
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594937690629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594937708050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937709298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937853994
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594937860312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937867465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937870898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937876779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937880153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1594937880168
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1594937880515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594937883388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937886562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937889524
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1594937889539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1594937889539
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594937892126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594937892496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938102614
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594938107414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.linkWithEditor",1594938112127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1594938133045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938140607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938143940
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1594938143987
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594938155379
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594938155464
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594938211907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594938247637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938249241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938304571
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594938307140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938369124
