what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1594953431571
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1594953431670
os,sysinfo,,,"win32",1594953431672
arch,sysinfo,,,"x86_64",1594953431672
ws,sysinfo,,,"win32",1594953431672
locale,sysinfo,,,"en_IN",1594953431672
processors,sysinfo,,,"2",1594953431672
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1594953431672
java.runtime.version,sysinfo,,,"1.8.0_251-b08",1594953431672
java.specification.name,sysinfo,,,"Java Platform API Specification",1594953431672
java.specification.vendor,sysinfo,,,"Oracle Corporation",1594953431672
java.specification.version,sysinfo,,,"1.8",1594953431672
java.vendor,sysinfo,,,"Oracle Corporation",1594953431672
java.version,sysinfo,,,"1.8.0_251",1594953431672
java.vm.info,sysinfo,,,"mixed mode",1594953431672
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1594953431672
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1594953431672
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1594953431672
java.vm.specification.version,sysinfo,,,"1.8",1594953431672
java.vm.vendor,sysinfo,,,"Oracle Corporation",1594953431672
java.vm.version,sysinfo,,,"25.251-b08",1594953431672
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1594953432056
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1594953433074
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1594953433203
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1594953433205
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1594953433310
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1594953433426
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1594953433442
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1594953433611
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1594953433881
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1594953433928
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1594953433965
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1594953434028
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953438888
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953439088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594953443897
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1594953444183
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1594953444198
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1594953444283
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1594953444283
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1594953444668
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1594953447851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953449977
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1594953451258
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1594953451274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953457297
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1594953457735
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1594953457813
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1594953459855
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1594953465906
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594953467160
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594953467371
